"","Date","value"
"272",2021-06-07,36112.3774956131
"273",2021-06-08,36093.5913297701
"274",2021-06-09,37357.398175745
"275",2021-06-10,38797.6358648968
"276",2021-06-11,39740.9745889521
"277",2021-06-12,38862.734470346
"278",2021-06-13,39745.7555668354
"279",2021-06-14,40699.7145164871
"280",2021-06-15,39748.0522375298
"281",2021-06-16,38554.0311566401
"282",2021-06-17,38216.6307174444
"283",2021-06-18,35387.6915787578
"284",2021-06-19,35154.9510235405
"285",2021-06-20,35671.0864820671
"286",2021-06-21,34126.2414471555
"287",2021-06-22,32961.4090993714
"288",2021-06-23,33730.2571416044
"289",2021-06-24,35355.2267124558
"290",2021-06-25,33976.631364522
"291",2021-06-26,34516.6079160571
"292",2021-06-27,35579.3922798681
"293",2021-06-28,35114.0162458706
"294",2021-06-29,35849.7051667714
"295",2021-06-30,35930.9330052996
"296",2021-07-01,35365.0813811541
"297",2021-07-02,34779.3215249276
"298",2021-07-03,35351.5715535402
"299",2021-07-04,35617.1297316694
"300",2021-07-05,34472.5846416855
"301",2021-07-06,34877.7143499851
"302",2021-07-07,34653.3273715091
"303",2021-07-08,34404.0823102236
"304",2021-07-09,34384.3879837465
"305",2021-07-10,34086.620124948
"306",2021-07-11,34436.6259838533
"307",2021-07-12,33523.095193336
"308",2021-07-13,32984.4808827519
"309",2021-07-14,33015.0618786478
"310",2021-07-15,32586.4400812197
"311",2021-07-16,31929.9544010699
"312",2021-07-17,31473.6543443179
"313",2021-07-18,32512.4962914133
"314",2021-07-19,32232.9366780543
"315",2021-07-20,32170.6939000535
"316",2021-07-21,33595.5866766739
"317",2021-07-22,34422.6958504915
"318",2021-07-23,35930.4151285744
"319",2021-07-24,37349.0295880842
"320",2021-07-25,38327.0247726989
"321",2021-07-26,39483.8600530815
"322",2021-07-27,41596.9096737814
"323",2021-07-28,42031.2731479454
"324",2021-07-29,41462.1003578448
"325",2021-07-30,42184.3394948101
"326",2021-07-31,41703.2920607805
"327",2021-08-01,41367.3401753235
"328",2021-08-02,41266.8946070147
"329",2021-08-03,41448.6318102598
"330",2021-08-04,42900.7881695509
"331",2021-08-05,43450.9683936644
"332",2021-08-06,45446.1372629738
"333",2021-08-07,46403.7663824606
"334",2021-08-08,46211.165026176
"335",2021-08-09,46913.2294872379
"336",2021-08-10,48039.8815610933
"337",2021-08-11,47820.0016112185
"338",2021-08-12,47217.0242302442
"339",2021-08-13,48347.4928304005
"340",2021-08-14,47890.3652967072
"341",2021-08-15,47762.0594616747
"342",2021-08-16,47924.8829062605
"343",2021-08-17,48134.525408988
"344",2021-08-18,48020.7126168013
"345",2021-08-19,49133.3820190764
"346",2021-08-20,50690.2545532942
"347",2021-08-21,50218.7390531921
"348",2021-08-22,50724.2130060935
"349",2021-08-23,50201.078706317
"350",2021-08-24,50025.6235729122
"351",2021-08-25,50404.018833456
"352",2021-08-26,49563.2647337484
"353",2021-08-27,49724.3544171238
"354",2021-08-28,49864.0910674095
"355",2021-08-29,50384.0618158865
"356",2021-08-30,49762.8011348748
"357",2021-08-31,49871.3000615335
"358",2021-09-01,50698.690690093
"359",2021-09-02,51751.3764577627
"360",2021-09-03,52508.985073967
"361",2021-09-04,50593.1939473486
"362",2021-09-05,50973.2591726947
